cliente,produto,quantidade
b'QRQcRA',b'kcLG7w',2
b'S84tyg',b'gReWUA',2
b'S84tyg',b'QSo4gg',2
b'S84tyg',b'd3Q9zg',2
b'RPEZ6A',b'isUtKA',2
b'RPEZ6A',b'PekBfw',2
b'RPEZ6A',b'MEO36A',2
b'RPEZ6A',b'PuCpgA',2
b'RPEZ6A',b'qX5Idw',2
b'RPEZ6A',b'NnRWEg',2
b'GufDcQ',b'RNVuyA',2
b'GufDcQ',b'6qXRcA',2
b'GufDcQ',b'QSF.jg',2
b'2NnoDg',b'qm.f2A',2
b'QXlwlA',b'Lp-amA',2
b'QXlwlA',b'cqdZEg',2
b'wjaUcA',b'-unqUQ',2
b'wjaUcA',b'9-oakg',2
b'wjaUcA',b'yZauwQ',2
b'wjaUcA',b'vurCcA',2
b'lQ3KUA',b'S6otTQ',2
b'lQ3KUA',b'.sBZxw',2
b'lQ3KUA',b'jMfiaw',2
b'5hPXtw',b'0dxDZw',2
b'blkMxA',b'Lp-amA',2
b'blkMxA',b'nux1.Q',2
b'D11HaA',b'k-GY.A',2
b'D11HaA',b'8BdQ4Q',2
b'D11HaA',b'IHKyvQ',2
b'D11HaA',b'hfKk2w',2
b'CY63VA',b'adySIA',2
b'CY63VA',b'-Eg07Q',2
b'CY63VA',b'y7o3EA',2
b'CY63VA',b'upw0Gg',2
b'CY63VA',b'sMk2BA',2
b'rLN8IQ',b'hKABoA',2
b'rLN8IQ',b'pr4-cw',2
b'rLN8IQ',b'.-If1A',2
b'rLN8IQ',b'q4IMAA',2
b'rLN8IQ',b'pYoHrg',2
b'rLN8IQ',b'is6iZA',2
b'OS1lIQ',b'I91uUA',2
b'OS1lIQ',b'07Kegg',2
b'JhxR1Q',b'hcyhUA',2
b'JhxR1Q',b'kw.tAg',2
b'JhxR1Q',b't97qfA',2
b'JhxR1Q',b'k37hyQ',2
b'q1APNA',b'SvPQFw',2
b'q1APNA',b'qfuYbA',2
b'q1APNA',b'0QVtQA',2
b'q1APNA',b'.-If1A',2
b'S2nZ.g',b'HEPBuw',2
b'S2nZ.g',b'.-If1A',2
b'S2nZ.g',b'8y251Q',2
b'S2nZ.g',b'6m.G2A',2
b'4i5SAg',b'OrG5yA',2
b'j4LnPA',b'gxlAPw',2
b'VSMRRw',b'8foV3A',2
b'VSMRRw',b'Lp-amA',2
b'BFurFw',b'dssuaA',2
b'BFurFw',b'OhzNZw',2
b'BFurFw',b'FAfUsA',2
b'SnguMw',b'qQGx9Q',2
b'xactRQ',b'8foV3A',2
b'xactRQ',b'ClwLjw',2
b'tgQx7Q',b'42mZLQ',2
b'tgQx7Q',b'v9te9g',2
b'tgQx7Q',b'B33RsA',2
b'l9SEeA',b'FWf0Qg',2
b'l9SEeA',b'A9h3Yg',2
b'l9SEeA',b'KdYL4w',2
b'l9SEeA',b'uJMq2g',2
b'l9SEeA',b'Ehq31A',2
b'l9SEeA',b'lcAg4Q',2
b'l9SEeA',b'33lI1A',2
b'l9SEeA',b'3OcFgg',2
b'l9SEeA',b'jBF.4A',2
b'l9SEeA',b'5RM4xQ',2
b'l9SEeA',b'k-GNpg',2
b'l9SEeA',b'ArwVyA',2
b'l9SEeA',b'wW3Bow',2
b'l9SEeA',b'kWrmVw',2
b'7NwwDQ',b'YsSOVg',2
b'1scRtg',b'4c1aKA',2
b'Zd8IsA',b'VmGC-w',2
b'Zd8IsA',b'4lka8A',2
b'YF1aLw',b'69hvQA',2
b'YF1aLw',b'QSF.jg',2
b'ImIPkQ',b'f3Us.A',2
b'ImIPkQ',b'IU9DYA',2
b'ImIPkQ',b'XT-Clw',2
b'ImIPkQ',b'WOOrKA',2
b'ImIPkQ',b'Hcf.ag',2
